Address,Beds,Price,Price_per_bed
"70 Queens Wharf Rd, Toronto, ON M5V 0E4, Canada",1,2300.0,2300.0
"365 Church St, Toronto, ON M5B 1Z9, Canada",1,2250.0,2250.0
"88 Scott St, Toronto, ON M5E 1X6, Canada",1,1900.0,1900.0
"28 Church St W, Acton, ON L7J 1X4, Canada",1,1175.0,1175.0
"8081 Birchmount Rd, Markham, ON L6G 1B3, Canada",2,2300.0,1150.0
"255 Richmond St E, Toronto, ON M5A 4T7, Canada",1,2000.0,2000.0
"1512 Dufferin Street, M6H3L4, Toronto, ON",1,1650.0,1650.0
"170 Sudbury St, Toronto, ON M6J 0A9, Canada",2,2889.0,1444.5
"89 McGill St, Toronto, ON M5B 1H3, Canada",2,2800.0,1400.0
"# Dundas st w, Denison ave and Dundas st w M5T 2N3 ON, Canada",1,1300.0,1300.0
"211 Simcoe St S, Oshawa, ON L1H 4H2, Canada",2,1250.0,625.0
"M6J1T8, Canada",1,1300.0,1300.0
"2386  New Street, Burlington, ON, L7R 1J7",2,1750.0,875.0
"70 Queens Wharf Rd, Toronto, ON M5V 0J2, Canada",1,2400.0,2400.0
"89 McGill St, Toronto, ON M5B 1H3, Canada",1,2000.0,2000.0
"89 McGill Street, Toronto, ON, M5B 0B1",1,1950.0,1950.0
"424 Yonge Street, Toronto, ON, M5B 2H3",1,2450.0,2450.0
"424 Yonge Street, Toronto, ON, M5B 2H3",2,3450.0,1725.0
"386 Yonge St, Toronto, ON M5G 2K2, Canada",1,2350.0,2350.0
", toronto M5B1E4 ON, Canada",2,2900.0,1450.0
", Mississauga L5B 0G6 ON, Canada",1,2200.0,2200.0
"87 PETER ST, M5V0P1, TORONTO, ON",1,1850.0,1850.0
", Mississauga  L5H3B2 ON, Canada",1,2150.0,2150.0
"120 Bayview Ave., M5A 0G4, Toronto, ON",1,1900.0,1900.0
"51 E Liberty St, Toronto M6K 3P8 ON",1,2200.0,2200.0
"M5B0A5, Canada",3,4000.0,1333.3333333333333
", M5V 2G4, Toronto, ON",3,3200.0,1066.6666666666667
"300 Front St W, M5E 0E9, Toronto, ON",1,2500.0,2500.0
"k , Toronto m8v 2t8 ON, Canada",1,1200.0,1200.0
", Toronto m5e0a8 ON",1,2600.0,2600.0
"Iceboat Terr, Toronto, ON M5V 4A9, Canada",1,1750.0,1750.0
"101 Charles St E, Toronto, ON M4Y 0A9, Canada",2,3575.0,1787.5
"75 Queens Wharf Rd, Toronto, ON M5V 0J8, Canada",2,3200.0,1600.0
"87 Peter St, Toronto, ON M5V 0P1, Canada",2,2500.0,1250.0
"89 McGill St, Toronto, ON M5B 1H3, Canada",1,1850.0,1850.0
"87 Peter Street, Toronto, ON, M5V 0P1",1,2100.0,2100.0
"455 Maple Ave, Burlington, ON, L7S 1M1",1,1575.0,1575.0
"89 McGill Street, Toronto, ON, M5B 0B1",1,1950.0,1950.0
"44 St Joseph Street, Toronto, ON, M4Y 2W4",1,2400.0,2400.0
", North York M2j0a9 ON, Canada",1,2000.0,2000.0
"540 Sherbourne St, Toronto, ON M4X 1L2, Canada",2,2000.0,1000.0
"540 Sherbourne St, Toronto, ON M4X 1L2, Canada",1,1650.0,1650.0
"540 Sherbourne St, Toronto, ON M4X 1L2, Canada",1,1550.0,1550.0
"63 Drew St, Oshawa, ON L1H 5A2, Canada",2,1250.0,625.0
", Mississauga L5B4M2 ON, Canada",1,2150.0,2150.0
"150 Fairview Mall Dr, North York, ON M2J 2Z2, Canada",1,1600.0,1600.0
"19 Sudbury St, Toronto, ON M6J 3W6, Canada",3,3450.0,1150.0
"One King Street West, 1 King St W, Toronto, ON M5H 1A1, Canada",1,2950.0,2950.0
"63 Drew St, Oshawa, ON L1H 5A2, Canada",2,1350.0,675.0
"333 Adelaide St E, Toronto, ON M5A 4V1, Canada",2,2550.0,1275.0
"600 Queens Quay W, Toronto, ON M5V 3M3, Canada",1,1900.0,1900.0
", Toronto m8v0b2 ON, Canada",1,2450.0,2450.0
"38 Grenville, TORONTO M4Y1A5 ON",1,2500.0,2500.0
", Toronto M5J 2H2 ON, Canada",1,2800.0,2800.0
"111 Upper Duke, Makrham L6G0C6 ON",1,1600.0,1600.0
"200 Sackville St, Toronto, ON M5A 3H1, Canada",1,2099.0,2099.0
"424 Adelaide St E, Toronto, ON M5A 1N4, Canada",1,2350.0,2350.0
"424 Adelaide St E, Toronto, ON M5A 1N4, Canada",1,2350.0,2350.0
"320 Lonsdale Road, Toronto, ON, M4V 1X4",1,1617.0,1617.0
"86 Park Rd S, Oshawa, ON L1J 4G9, Canada",2,1500.0,750.0
"80 Kensington Ave, Toronto, ON M5T 1M1, Canada",1,1750.0,1750.0
"Peter St, Toronto, ON M5V 0P1, Canada",1,2100.0,2100.0
"89 McGill Street, Toronto, ON, M5B 0B1",1,1950.0,1950.0
"39 Upper Duke Cres., L6G 0B8, Markham, ON",2,2150.0,1075.0
"M5J2Z2, Canada",2,2800.0,1400.0
"1375 Stephenson Dr Unit 24, Burlington, ON L7S 2M5, Canada",2,2000.0,1000.0
"70 Temperance St, Toronto, ON M5H 0B1, Canada",2,2800.0,1400.0
"70 Temperance St, Toronto, ON M5H 0B1, Canada",1,1900.0,1900.0
"70 Temperance St, Toronto, ON M5H 0B1, Canada",1,1900.0,1900.0
"15 Merchants Wharf, Toronto, ON, M5A 0N8",1,2450.0,2450.0
"105 George St, Toronto, ON M5A 0L4, Canada",1,2200.0,2200.0
"Dunlop St E, Whitby, ON L1N, Canada",2,1350.0,675.0
"224 King St W, Toronto, ON, M5H 0A6",1,2400.0,2400.0
"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",1,2424.0,2424.0
"565 Sherbourne Street, Toronto, ON, M4X 1W5",1,1700.0,1700.0
"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",1,1400.0,1400.0
"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",1,1700.0,1700.0
"171 Main Street North, Brampton, ON, L6X 0H4",1,1500.0,1500.0
"171 Main Street North, Brampton, ON, L6X 0H4",2,1775.0,887.5
"100 Harbour St, Toronto, ON M5J 1B7, Canada",1,1830.0,1830.0
"28 Wellesley Street East, M4Y 0C4, Toronto, ON",1,2000.0,2000.0
"2548 Eglinton Ave W, M6M 1T1, Toronto, ON",2,1850.0,925.0
"101 Sheridan Ave, Toronto, ON M6K 2G8, Canada",2,1300.0,650.0
"33 Bay St, Toronto, ON M5J 2Z3, Canada",1,2275.0,2275.0
"96 St Patrick St, Toronto, ON M5T 1V2, Canada",1,2480.0,2480.0
"290 Adelaide St W, Toronto, ON M5V 1P6, Canada",2,2350.0,1175.0
"12 Yonge St, Toronto, ON M5E 1Z9, Canada",2,3200.0,1600.0
"Port Hope, ON, Canada",2,1595.0,797.5
"10 Capreol Ct, Toronto, ON M5V 4B3, Canada",1,2500.0,2500.0
"235 Sherway Gardens Rd, Etobicoke, ON M9C 0A2, Canada",2,2380.0,1190.0
"14 York St, Toronto, ON M5J 0B1, Canada",1,2000.0,2000.0
"295 Dufferin St., Toronto, ON, M6K 1Z6",2,2574.0,1287.0
"295 Dufferin St., Toronto, ON, M6K 1Z6",2,2591.0,1295.5
"51 Guestville Ave, York, ON M6N 4N1, Canada",1,1295.0,1295.0
"89 Chestnut St, Toronto, ON M5G 1R1, Canada",1,550.0,550.0
"220 Victoria St, Toronto, ON M5B 2R6, Canada",2,3099.0,1549.5
"28 Wellesley St E, Toronto, ON M4Y, Canada",2,3700.0,1850.0
", Toronto M5J 0B8 ON, Canada",2,1500.0,750.0
"170 Bayview Ave, Toronto, ON M5A 0G4, Canada",2,2999.0,1499.5
"125 Western Battey st, M6k 3s2, Toronto, ON",1,2100.0,2100.0
"2304  Weston Road, Toronto, ON, M9N 1Z3",3,2050.0,683.3333333333334
"2304  Weston Road, Toronto, ON, M9N 1Z3",1,1525.0,1525.0
"2304  Weston Road, Toronto, ON, M9N 1Z3",2,1799.0,899.5
"1275  Brant St, Burlington, ON, L7P 1X7",2,1875.0,937.5
"700  Ross Street, Burlington, ON, L7S 1S2",2,1625.0,812.5
"70 Queens Wharf Rd 33rd Floor, Toronto, ON M5V 0J2, Canada",1,2400.0,2400.0
"24 Wellesley St W, Toronto, ON M4Y 2X6, Canada",1,2500.0,2500.0
"375 King St W, Toronto, ON M5V 1K1, Canada",2,1900.0,950.0
"10 York Street, Toronto, ON, M5J 0E1",1,2200.0,2200.0
